circuit_id,circuit_full_name_display,layout_display,circuit_full_name_normalized,layout_normalized,local_address,latitude_dd,longitude_dd,country_id,layout_length_m,alt_circuit_full_name_display
1,Aberdare Park,Road Racing Circuit,aberdare_park,road_racing_circuit,"Aberdare Park, 9 Park Ln, Aberdare CF44 8HN",51.719074,-3.458126,GBR,1560,
2,Adelaide International Raceway,Full Circuit,adelaide_international_raceway,full_circuit,"Adelaide International Raceway, Port Wakefield Road, Virginia SA, Australia",-34.70981476,138.5743899,AUS,2410,
3,Adelaide International Raceway,Short Circuit,adelaide_international_raceway,short_circuit,"Adelaide International Raceway, Port Wakefield Road, Virginia SA, Australia",-34.70981476,138.5743899,AUS,1770,
4,Adelaide International Raceway,Speedway Super Bowl,adelaide_international_raceway,speedway_super_bowl,"Adelaide International Raceway, Port Wakefield Road, Virginia SA, Australia",-34.70981476,138.5743899,AUS,800,
5,Adelaide Parklands,Adelaide 500 Circuit,adelaide_parklands,adelaide_500_circuit,"Clipsal 500, PO Box V8, Kent Town, SA 5071, Australia",-34.92080152,138.6196215,AUS,3219,
6,Adria International Raceway,Full Circuit,adria_international_raceway,full_circuit,"Adria International Raceway, Località Smergoncino, 7, 45011 Adria RO, Italy",45.04692513,12.15273801,ITA,3749,
7,Adria International Raceway,Outer Circuit,adria_international_raceway,outer_circuit,"Adria International Raceway, Località Smergoncino, 7, 45011 Adria RO, Italy",45.04692513,12.15273801,ITA,,
8,Ahvenisto,Full circuit,ahvenisto,full_circuit,"Ahvenisto Race Circuit, Poltinahontie 47, 13100 Hämeenlinna, Finland",61.00126965,24.41611322,FIN,2870,Hämeenlinna
9,Aintree,Club Circuit,aintree,club_circuit,"Aintree Circuit, Melling Road, Liverpool, L9 5AS, United Kingdom",53.47502681,-2.952388014,GBR,2205,
10,Alastaro Circuit,Full Circuit,alastaro_circuit,full_circuit,"Alastaro Circuit, Jarno Saarisentie, 32560 Virttaa, Finland",60.9743123,22.6548584,FIN,2721,
11,Alastaro Circuit,Short Circuit,alastaro_circuit,short_circuit,"Alastaro Circuit, Jarno Saarisentie, 32560 Virttaa, Finland",60.9743123,22.6548584,FIN,,
12,Albacete,Full circuit,albacete,full_circuit,"Circuito de Albacete, Carretera De Ayora, Apartado de Correos 1055, 02080 Albacete, Spain",38.57637361,-2.628986197,ESP,3550,
13,"Albert Park, Melbourne",Grand Prix Circuit,albert_park_melbourne,grand_prix_circuit,"Australian Grand Prix Corporation, PO Box 577, South Melbourne, Victoria 3205, Australia",-37.8043,144.8465,AUS,5280,
14,"Albert Park, Melbourne",Supercars Circuit,albert_park_melbourne,supercars_circuit,"Australian Grand Prix Corporation, PO Box 577, South Melbourne, Victoria 3205, Australia",-37.8043,144.8465,AUS,5280,
15,Albi,Grand Prix Circuit,albi,grand_prix_circuit,"Circuit d'Albi, Route de Toulouse, F-81990, France",43.9179298,2.103947275,FRA,3565,
16,Aldo Scribante Raceway,Full Circuit,aldo_scribante_raceway,full_circuit,"Aldo Scribante Raceway, Coega IDZ, Gqeberha, 6001, South Africa",-33.9607625,25.6206385,ZAF,2480,
17,Almería,Circuito de Almería,almeria,circuito_de_almeria,"Circuito De Almería, N-340a, Km 483, 04200 Tabernas, Almería, Spain",37.08489811,-2.264316325,ESP,4200,Andalucia Circuit - Iberia Circuit
18,Almería,Andalucia  Circuit No 1,almeria,andalucia_circuit_no_1,"Circuito De Almería, N-340a, Km 483, 04200 Tabernas, Almería, Spain",37.08489811,-2.264316325,ESP,5000,Andalucia Circuit - Iberia Circuit
19,Almería,Andalucia  Circuit No 1 (Alternate),almeria,andalucia_circuit_no_1_alternate,"Circuito De Almería, N-340a, Km 483, 04200 Tabernas, Almería, Spain",37.08489811,-2.264316325,ESP,,Andalucia Circuit - Iberia Circuit
20,Almería,Andalucia  Circuit No 2,almeria,andalucia_circuit_no_2,"Circuito De Almería, N-340a, Km 483, 04200 Tabernas, Almería, Spain",37.08489811,-2.264316325,ESP,4000,Andalucia Circuit - Iberia Circuit
21,Almería,Andalucia  Circuit No 2 (Alternate),almeria,andalucia_circuit_no_2_alternate,"Circuito De Almería, N-340a, Km 483, 04200 Tabernas, Almería, Spain",37.08489811,-2.264316325,ESP,,Andalucia Circuit - Iberia Circuit
22,Almería,Andalucia Circuit No 3,almeria,andalucia_circuit_no_3,"Circuito De Almería, N-340a, Km 483, 04200 Tabernas, Almería, Spain",37.08489811,-2.264316325,ESP,2200,Andalucia Circuit - Iberia Circuit
23,Almería,Andalucia  Circuit No 4,almeria,andalucia_circuit_no_4,"Circuito De Almería, N-340a, Km 483, 04200 Tabernas, Almería, Spain",37.08489811,-2.264316325,ESP,,Andalucia Circuit - Iberia Circuit
24,Almería,Andalucia  Circuit No 4 (Alternate),almeria,andalucia_circuit_no_4_alternate,"Circuito De Almería, N-340a, Km 483, 04200 Tabernas, Almería, Spain",37.08489811,-2.264316325,ESP,,Andalucia Circuit - Iberia Circuit
25,Almería,Iberia Circuit,almeria,iberia_circuit,"Circuito De Almería, N-340a, Km 483, 04200 Tabernas, Almería, Spain",37.08489811,-2.264316325,ESP,9220,Andalucia Circuit - Iberia Circuit
26,Almería,Iberia Circuit (Alternate),almeria,iberia_circuit_alternate,"Circuito De Almería, N-340a, Km 483, 04200 Tabernas, Almería, Spain",37.08489811,-2.264316325,ESP,,Andalucia Circuit - Iberia Circuit
