series_id,parent_organization,series_name_display,series_name_normalized,scope,country_id,region_id
1,,FIA World Endurance Championship,fia_world_endurance_championship,international,,INT
2,,Intercontinental GT Challenge,intercontinental_gt_challenge,international,,INT
3,,24H Series,24h_series,international,,INT
4,,Porsche Mobil 1 Supercup,porsche_mobil_1_supercup,international,,INT
5,,European Le Mans Series,european_le_mans_series,regional,,EUR
6,,Michelin Le Mans Cup,michelin_le_mans_cup,regional,,EUR
7,,Fanatec GT World Challenge Europe,fanatec_gt_world_challenge_europe,regional,,EUR
8,,International GT Open,international_gt_open,regional,,EUR
9,,GT Cup Open Europe,gt_cup_open_europe,regional,,EUR
10,,GT4 European Series,gt4_european_series,regional,,EUR
11,,GT2 European Series,gt2_european_series,regional,,EUR
12,,Ligier European Series,ligier_european_series,regional,,EUR
13,,Prototype Cup Germany,prototype_cup_germany,regional,,EUR
14,,Ultimate Cup Series,ultimate_cup_series,regional,,EUR
15,,Supercar Challenge,supercar_challenge,regional,,EUR
16,,ESET Cup Series,eset_cup_series,regional,,EUR
17,,IMSA WeatherTech SportsCar Championship,imsa_weathertech_sportscar_championship,regional,,NAM
18,,IMSA Michelin Pilot Challenge,imsa_michelin_pilot_challenge,regional,,NAM
19,,IMSA VP Racing SportsCar Challenge,imsa_vp_racing_sportscar_challenge,regional,,NAM
20,,Fanatec GT World Challenge America,fanatec_gt_world_challenge_america,regional,,NAM
21,,GT America,gt_america,regional,,NAM
22,,Pirelli GT4 America,pirelli_gt4_america,regional,,NAM
23,,Trans-Am Series,trans_am_series,national,USA,
24,,Asian Le Mans Series,asian_le_mans_series,regional,,ASI
25,,Fanatec GT World Challenge Asia,fanatec_gt_world_challenge_asia,regional,,ASI
26,,Fanatec GT World Challenge Australia,fanatec_gt_world_challenge_australia,national,AUS,
27,,DTM,dtm,national,DEU,
28,,ADAC GT Masters,adac_gt_masters,national,DEU,
29,,Nürburgring Langstrecken-Serie,nurburgring_langstrecken_serie,national,DEU,
30,,British GT Championship,british_gt_championship,national,GBR,
31,,GT Cup Championship,gt_cup_championship,national,GBR,
32,,Britcar Endurance Championship,britcar_endurance_championship,national,GBR,
33,,Italian GT Championship,italian_gt_championship,national,ITA,
34,,FFSA French GT4 Championship,ffsa_french_gt4_championship,national,FRA,
35,,Campeonato de España de Resistencia & GT,campeonato_de_espana_de_resistencia_gt,national,ESP,
36,,Super GT,super_gt,national,JPN,
